R,G,B,hex_val,hls_val,gene
0.0,0.605,0.114,#009a1d,#00cc26,1190002N15Rik
0.0,0.605,0.114,#009a1d,#00cc26,1500009C09Rik
0.03799,0.00393,0.24366000000000002,#0a013e,#1f03c9,1700028J19Rik
0.626484,0.05976,0.34859999999999997,#a00f59,#ba1268,2010111I01Rik
0.0,0.0,0.0,#000000,#666666,2410015M20Rik
0.008837999999999999,0.14926399999999998,0.140426,#022624,#0bc1b5,2700060E02Rik
0.747502,0.18962,0.11477000000000001,#bf301d,#bf301d,4930415O20Rik
0.0,0.605,0.114,#009a1d,#00cc26,4930430F08Rik
0.0,0.603,0.116,#009a1e,#00cc27,4930444P10Rik
0.0,0.605,0.114,#009a1d,#00cc26,5730480H06Rik
0.0,0.603,0.116,#009a1e,#00cc27,8430408G22Rik
0.003042000000000003,1.8000000000000017e-05,0.0008460000000000007,#010000,#cb0138,9030612E09Rik
0.034991999999999995,0.00021599999999999996,0.047951999999999995,#09000c,#9401cb,9530077C05Rik
0.8358040000000001,0.07760399999999999,0.028544,#d51407,#d51407,9830107B12Rik
0.0,0.612158,0.106679,#009c1b,#00cc24,A830010M20Rik
0.014620000000000003,0.027200000000000005,0.005270000000000001,#040701,#5cab21,A930004D18Rik
0.725,0.306,0.021,#b94e05,#c65406,A930011G23Rik
0.747502,0.18962,0.11477000000000001,#bf301d,#bf301d,AI467606
0.173088,0.159265,0.018630999999999998,#2c2905,#b8a914,AI846148
0.0,0.605,0.115,#009a1d,#00cc27,AI854703
0.0,0.603,0.116,#009a1e,#00cc27,Aaed1
0.031349999999999996,0.0003799999999999999,0.03457999999999999,#080009,#b702ca,Aard
0.005160000000000004,0.0,0.00024000000000000022,#010000,#cc0009,Abca7
0.001,0.0,0.001,#000000,#cc00cc,Abra
0.746662,0.05293200000000001,0.015238,#be0d04,#c80e04,Acan
0.559251,0.044352,0.000693,#8f0b00,#cc1000,Acp7
0.000999,0.606393,0.110889,#009b1c,#00cc25,Actr10
0.71,0.283,0.031,#b54808,#c34e09,Actr3
0.709,0.282,0.059,#b5480f,#bc4b10,Adamts1
0.008837999999999999,0.14926399999999998,0.140426,#022624,#0bc1b5,Adamts10
0.00473,0.5401659999999999,0.107844,#018a1c,#02ca28,Adamtsl5
0.000996,0.569712,0.14442,#009125,#00cc34,Adgra2
0.0266,0.0209,0.20329999999999998,#070534,#1813b9,Adrb1
0.186465,0.0037199999999999998,0.0,#300100,#cc0400,Agpat4
0.747502,0.18962,0.11477000000000001,#bf301d,#bf301d,Agpat9
0.01341,0.000894,0.801918,#0300cc,#0300cc,Ahr
0.14114100000000002,0.0017160000000000003,0.0012870000000000002,#240000,#ca0202,Ahsa2
0.020958,0.940116,0.056886,#05f00f,#05f00f,Aif1
0.001,0.0,0.001,#000000,#cc00cc,Aim1l
0.03007,0.00291,0.86912,#0801de,#0801de,Akap10
0.000979,0.074404,0.23887599999999998,#00133d,#013fcb,Akirin1
0.003042000000000003,1.8000000000000017e-05,0.0008460000000000007,#010000,#cb0138,Akt1
0.003078000000000003,1.8000000000000017e-05,0.00023400000000000019,#010000,#cb010f,Amd2
0.009168000000000008,0.0,0.0002880000000000003,#020000,#cc0006,Amigo2
0.000978,0.540834,0.13985399999999998,#008a24,#00cc35,Anapc10
0.747502,0.18962,0.11477000000000001,#bf301d,#bf301d,Ankar
0.005676000000000005,3.300000000000003e-05,9.900000000000009e-05,#010000,#cb0104,Ankrd13c
0.020958,0.940116,0.056886,#05f00f,#05f00f,Ankrd27
0.08800000000000001,0.04048,0.0572,#160a0f,#8c405b,Ankrd33b
0.142245,0.0017400000000000002,0.0013050000000000002,#240000,#ca0202,Anks1b
0.002366000000000002,1.4000000000000013e-05,0.0006020000000000005,#010000,#cb0134,Ap1ar
0.08994600000000001,0.000526,0.0,#170000,#cc0100,Ap1b1
0.003078000000000003,1.8000000000000017e-05,0.00023400000000000019,#010000,#cb010f,Apaf1
0.14114100000000002,0.0017160000000000003,0.0012870000000000002,#240000,#ca0202,Aprt
